,Date / Time,City,State,Shape,Duration,Summary,Posted
,4/25/19 19:41,Lincoln,NH,Sphere,A couple of minutes,Sphere shaped craft disappears in the sky,4/25/19
,4/25/19 08:05,Toronto (Canada),ON,Sphere,3 seconds,Sliver Sphere (Orb) Sighting in Toronto (Leslieville),4/25/19
,4/24/19 22:45,Harrisonburg,VA,Triangle,0.5 second,"Triangle, white centerish area with rainbow emitting from it to shape the triangle",4/25/19
,4/24/19 22:30,Palm Desert,CA,Chevron,10 seconds,"This was a sighting at night above Palm Desert, CA. featuring an angular object from which four other objects flew away and came back.",4/25/19
,4/24/19 22:21,Long Beach,MS,Light,3 seconds,A bright green light came from the east qnd went down in the west,4/25/19
,4/24/19 20:45,Janesville,WI,Sphere,10 minutes,8 orange spheres in a random dispersion with an additional one a distance away catching up with the others.,4/25/19
,4/24/19 17:30,Naugatuck,CT,Oval,2 minutes,"Small black oval object, flew over condominium in Naugatuck, CT",4/25/19
,4/24/19 05:00,Lafayette,CA,Light,1 hour,"floating, dancing, jagger moving light in sky above east bay area for 1h ((NUFORC Note: Possible planet?? PD))",4/25/19
,4/23/19 00:00,New York City (Queens),NY,Light,3 seconds,"saw light in the shy that slowly dropped, and quickly vanished off to the left.",4/25/19
,4/23/19 22:24,Punta Gorda,FL,Triangle,2 minutes,"I saw 1 red, 2 white lights in triangular formation hovering in the night sky then vanished",4/25/19
,4/23/19 22:20,Fullerton,CA,Other,5 seconds,Wing like shape moving quickly across the sky in a straight trajectory.,4/25/19
,4/23/19 22:00,Mesa,AZ,Sphere,+1 hour,Two pulsating tricolor lighted objects; stationary - not hovering; approximately 20 miles apart; no noise; working in tandem?,4/25/19
,4/23/19 16:40,Eagle Mountain,UT,Circle,20,Over 100 lights float in the sky,4/25/19
,4/23/19 16:40,Eagle Mountain,UT,Circle,20 minutes,There was over 100 circular objects floating in the sky. I believed that they were balloons until 70% of them flew away slowly and 10%,4/25/19
,4/23/19 14:58,Chesapeake,VA,Circle,2 minutes,"Was walking to the happy shopper down the street, heard a weird sound, happened to look up to see 2 unidentified flying objects flying",4/25/19
,4/23/19 13:00,Thompson's Station,TN,Disk,3 minutes 27 seconds,((HOAX)) Was outside looking at the night sky & then my two friends both saw an UFO. I passed out for 2 min. they said and then I woke,4/25/19
,4/23/19 12:22,Indian Lake Estates,FL,Oval,10 seconds,Brilliant blue oval shaped object crosses sky directly overhead.,4/25/19
,4/22/19 21:19,Strongsville,OH,Sphere,15 seconds,Fiery orange spheres rapidly ascending.,4/25/19
,4/22/19 20:32,Nappanee,IN,Cigar,2 hours,A business retreat sights vibrant cigar shaped objects.,4/25/19
,4/22/19 06:35,Akron,OH,Cigar,6 minutes,"Cigar Shaped Object, vertically aligned, seen in area of Lockheed Martin",4/25/19
,4/22/19 01:11,St. Petersburg,FL,Flash,10 seconds,Quick white flashing streak that turned greenish and fully disappeared into the tree line.,4/25/19
,4/22/19 00:49,Van Nuys,CA,Fireball,5 seconds,I was driving a little after a quarter to 1 am when I stopped at an intersection and saw something go in front my vehicle. I could see,4/25/19
,4/22/19 00:20,Whitecourt (Canada),AB,Triangle,2 seconds,"Almost triangle, translucent craft in focus for only a few seconds, wow.",4/25/19
,4/21/19 23:35,Battle Creek,MI,Flash,1 second,"Saw 2 flashes of bright white light at 160 degrees on the southern horizon. There are no clouds, a clear night, and no storms in the vi",4/25/19
,4/21/19 23:00,Lexington,NC,Egg,Intermittent activity for,Hovering Light Over NC.,4/25/19
,4/21/19 22:35,North Wilkesboro,NC,Light,18 minutes,"On the evening of April 21, 2019 approximately at 22:25pm EST in a town at the base of the Appalachian mtns in North Carolina I looked",4/25/19
,4/21/19 22:30,Kentwood,MI,Unknown,1 minute,"An orange light crossed the sky over Kentwood, Mi. going southeast to northwest.",4/25/19
,4/21/19 21:30,Strathroy (Canada),ON,Triangle,6 seconds,"I was enjoying the night sky with my spouse when I thought I'd try to look for shooting stars, i stared straight up, when a dark, nearl",4/25/19
,4/21/19 21:15,Dauphin Island,AL,Other,2-3 seconds,"Several shadows flying along the shore in Dauphin Island, AL.",4/25/19
,4/21/19 21:00,Carolina Beach,NC,Circle,1 hour,"Red Orb silently hovers over Carolina Beach, NC, and Brunswick Nuclear Power Plant in Southport.",4/25/19
,4/21/19 20:15,Lakeside,AZ,Fireball,6 seconds,I saw a ball of fire in the sky.,4/25/19
,4/21/19 19:05,Napier (New Zealand),,Rectangle,8 seconds,Translucent satellite shaped object or rod shaped.,4/25/19
,4/21/19 17:00,Sparland,IL,Fireball,15 minutes,I was getting ready to go to bed and my dog started whining. I look outside and saw a huge orangeish red fiery light. I got pics and vi,4/25/19
,4/21/19 08:15,Superior,ID,Flash,1 minute,"Bright UFO suddenly appears in sky and flanks small jet, following it across the sky above remote mountains in northern Idaho",4/25/19
,4/21/19 06:59,Norwood,NJ,,,MADAR Node 145,4/25/19
,4/21/19 06:04,Falmouth (UK/England),,Fireball,5 minutes,((NUFORC Note: No detailed information provided by source of report. We have requested a report. PD)),4/25/19
,4/21/19 03:00,Milford,UT,Circle,Not sure,Three expanding/moving lights.,4/25/19
,4/20/19 22:25,Morris,MN,Triangle,4-5 seconds,Triangle with 3 lights moved quickly and quietly across the sky.,4/25/19
,4/20/19 21:45,Nottingham,MD,Unknown,30 seconds,Color changing lights.,4/25/19
,4/20/19 21:00,Montgomery,MN,Triangle,45 minutes,"Object has a red flashing light, a steady white light, and a series of lights in a triangular shape.",4/25/19
,4/20/19 20:48,Las Vegas,NV,Unknown,30 seconds,Bluish white UFO above southwest Las Vegas. High velocity.,4/25/19
,4/20/19 20:45,Troutman,NC,Formation,15 minutes,"Several strange orange lights seen in formation on the sky near Troutman, NC.",4/25/19
,4/20/19 20:00,Jacksonville,FL,Light,2 minutes,"((HOAX)) After asking if any ETs were around tonight, to show me they are here and within seconds one flashed.",4/25/19
,4/20/19 19:45,Valparaiso,IN,Light,15 minutes,Streaks of light seen at sunset. Changed position and color.,4/25/19
,4/20/19 18:30,Independence,MO,Fireball,20 seconds,"Bright red and orange solid light over Independence, Missouri.",4/25/19
,4/20/19 14:00,Bismarck/Mandan (between),ND,Changing,30 seconds,Strange expanding portal looking object seen in broad daylight.,4/25/19
,4/20/19 12:59,Goffstown,NH,,,MADAR Node 05,4/25/19
,4/20/19 12:26,Helotes,TX,,,MADAR Node 06,4/25/19
,4/20/19 10:15,Heightstown,NJ,Triangle,3 minutes,"My stepmother and I were driving on Indian Hill Rd., when we experienced a light gray triange shaped ufo with red and white lights.",4/25/19
,4/20/19 09:38,Waco,TX,Triangle,10 seconds,"Triangle shaped object, three red lights, one light on each point.",4/25/19
,4/20/19 08:00,Plymouth,WI,Changing,1 minute,"Cloud like object appeared, then disappears, appears again and collapsed on itself to disappear.",4/25/19
,4/20/19 04:20,Weed,CA,Cigar,"4 minutes, 20 seconds","((HOAX)) So y'all see, a big old cigar came down and yeeted our whole class on 4/20 in a BLAZE of smoke.",4/25/19
,4/20/19 03:30,Sherman Oaks,CA,Fireball,3 minutes,Ball of light flying in multiple directions over Sherman Oaks.,4/25/19
,4/20/19 01:42,Norwood,NJ,,,MADAR Node 145,4/25/19
,4/19/19 19:15,Whittier,CA,Light,10 minutes,Bright star-like object seen moving east to west over the Los Angeles area around sunset. ((anonymous report)),4/25/19
,4/19/19 17:35,Oklahoma City,OK,Oval,30 seconds,"Black oval object in sky flashing blue lights that ""winked-out"" followed by a circling jet and then three helicopters.",4/25/19
,4/19/19 17:35,Oklahoma City,OK,Oval,30 seconds,"Black oval object in sky flashing blue lights that ""winked-out"" followed by a circling jet and then three helicopters.",4/25/19
,4/19/19 12:30,Jamaica (Queens),NY,Circle,20 minutes,Low rumbling sound from a stationary object that emits a beam.,4/25/19
,4/19/19 05:05,Eureka,CA,Sphere,~2 minutes,Bright orange/red orb Northwest sky 20degrees above the horizon. Bright would dim and get brighter. Then it moved slightly. Then it fad,4/25/19
,4/19/19 04:04,Joplin,MO,Sphere,2 minutes,"On my way to work, on the northern horizon. I noticed what looked like a red flashing radio tower signal light above par-hill park. The",4/25/19
,4/19/19 03:30,St. Francis,MN,Light,2 brief but loud explosio,"At approx 0135 & again at 0300 heard two loud low frequency blast like sounds. Living near ATK proving grounds, explosions are often he",4/25/19
,4/19/19 03:23,Boise,ID,,,MADAR Node 116,4/25/19
,4/18/19 23:42,Minot,ND,Unknown,5 minutes,We heard pulsing notices outside of our apartment building,4/25/19
,4/18/19 23:42,Minot,ND,Unknown,5 minutes,"Pulsing noises outside, loud as heck",4/25/19
,4/18/19 21:25,Virginia Beach,VA,Disk,1-2 minutes,"I photographed 2 UFOs last night, 4/18/19, at around 9:25 pm, in Virginia Beach from my yard. ((NUFORC Note: Lens flare. PD))",4/25/19
,4/18/19 21:25,Virginia Beach,VA,Disk,1-2 minutes,"Two objects, one with the structure and one just a light moving over our neighborhood then apparently chased away by jets.",4/25/19
,4/18/19 10:30,Greensboro,NC,Unknown,1-2 minutes,"Fast, silent Mystery Craft.",4/25/19
,4/18/19 09:00,Milaca,MN,Unknown,6 minutes,Extremely loud low frequency rocket like rumbling sound traveling east to west in the sky.,4/18/19
,4/17/19 23:30,Wesley Chapel,FL,Disk,5 minutes,I was driving home from work and witnessed 2 disk shaped objects hovering. Noticed a long rectangular bright white light on one which a,4/25/19
,4/17/19 22:30,Muncie,IN,Unknown,Few seconds,Bright stationary object with light that started to blink very low to the ground and very close by,4/18/19
,4/17/19 22:20,Gonzalez,LA,Triangle,1 minute,Three lights in the shape of a triangle with one red light in the center.,4/18/19
,4/17/19 22:15,North Myrtle Beach,SC,Unknown,5 minutes,"3 orange lights over ocean Myrtle Beach, SC.",4/25/19
,4/17/19 22:00,Surfside Beach,SC,,10 minutes,3 orange lights over ocean.,4/18/19
,4/17/19 22:00,Bartow,FL,Changing,30 minutes,"Three objects changing shapes and colors over Bartow, FL. ((NUFORC Note: Possible ""twinkling"" stars?? PD))",4/18/19
,4/17/19 21:30,Bloomington,MN,Oval,Seconds,"This happened in Bloomington, MN. I was driving on hwy 77 going north, just coming up to the side of the Mall of America. I had a frien",4/25/19
,4/17/19 21:30,Bloomington,MN,Oval,Seconds,"This happened in Bloomington, MN. I was driving on hwy 77 going north, just coming up to the side of the Mall of America. I had a frien",4/25/19
,4/17/19 20:56,Hamer,SC,Other,2 minutes,"From Fairmont, NC to Hamer, SC, when out of nowhere what seems to be a long object with a light at both ends. ((anonymous report))",4/18/19
,4/17/19 20:15,Kissimmee,FL,Light,2 minutes,Two of us saw bright green and red flashing lights above the treetops. The left light was blinking green. ((anonymous report)),4/18/19
,4/17/19 20:10,Tucson,AZ,Light,10 seconds,"Where and when: On the evening of April 17, 2019 at around 8:10PM my wife and I were driving north on Arizona highway 77 (Oracle Rd.) a",4/25/19
,4/17/19 20:00,Queen Creek,AZ,Sphere,20-30 seconds,"We were heading east toward Ellsworth when we saw what appeared to be a mile or so away, not terribly high in the sky, 4-6 orange orb o",4/25/19
,4/17/19 19:55,North Phoenix,AZ,Egg,30 seconds,Three Orange-Red egg shaped blurry orbs over North Phoenix changing positions.,4/18/19
,4/17/19 17:00,Sparland,IL,Triangle,1 second,Surprised to see black triangles in my pics that i didn't see with own eyes.,4/25/19
,4/17/19 16:30,Ballston Lake,NY,Cylinder,~20 seconds,White Tic tac shaped object floating silently in the middle of the day.,4/18/19
,4/17/19 14:44,Watsonville,CA,,,MADAR Node 105,4/25/19
,4/17/19 11:00,Sun Valley,NV,Sphere,1 minute,Object flying across the sky.,4/18/19
,4/17/19 07:04,Republic,MO,Light,1 minute,"Came up from above the treeline on my way to school. It was extremely bright, almost like a star. I couldn't really tell the shape beca",4/18/19
,4/17/19 02:00,Ottawa (Carleton) (Canada),ON,Teardrop,10 seconds,I was driving towards the intersection of fallowfield and eagleson when I saw a where streak in the sky like a falling plane or somethi,4/18/19
